Baseline,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23
,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S1,S4,S7,S5,S1,S1,S1
,,,,,,,,,,,,,,,,,S2,S5,S8,S10,S3,S2,S2
,,,,,,,,,,,,,,,,,S3,S8,S15,,S14,S3,S3
,,,,,,,,,,,,,,,,,,S9,S16,,,S4,S4
,,,,,,,,,,,,,,,,,,,,,,S5,S6
,,,,,,,,,,,,,,,,,,,,,,S7,S7
,,,,,,,,,,,,,,,,,,,,,,S8,S8
,,,,,,,,,,,,,,,,,,,,,,S9,S9
,,,,,,,,,,,,,,,,,,,,,,S10,S10
,,,,,,,,,,,,,,,,,,,,,,S11,S11
,,,,,,,,,,,,,,,,,,,,,,S12,S12
,,,,,,,,,,,,,,,,,,,,,,S13,S13
,,,,,,,,,,,,,,,,,,,,,,S14,S14
,,,,,,,,,,,,,,,,,,,,,,S15,S15
,,,,,,,,,,,,,,,,,,,,,,S16,S16
,,,,,,,,,,,,,,,,,,,,,,S17,S17
,,,,,,,,,,,,,,,,,,,,,,S18,S18
,,,,,,,,,,,,,,,,,,,,,,S19,S19
,,,,,,,,,,,,,,,,,,,,,,S20,S20
,,,,,,,,,,,,,,,,,,,,,,S21,S21
,,,,,,,,,,,,,,,,,,,,,,S23,S22
